position,artist,title,year,youtube_link,spotify_link,base_year
38,Davina Michelle,Duurt Te Lang,2018,https://www.youtube.com/watch?v=n_j1clPqEvg,https://open.spotify.com/track/2rzZ0IGxgrGUAPwrWn80z7,2025
39,Kensington,Sorry,2016,https://www.youtube.com/watch?v=ZoQO7e2THIw,https://open.spotify.com/track/07uuo1yEND3oinbFZnYOvx,2025
40,Adele,Rolling In The Deep,2010,https://www.youtube.com/watch?v=rYEDA3JcQqw,https://open.spotify.com/track/1CkvWZme3pRgbzaxZnTl5X,2025
41,Cascada,Everytime We Touch,2005,https://www.youtube.com/watch?v=4G6QDNC4jPs,https://open.spotify.com/track/5YJtMNWKe55yr49cyJgxva,2025
42,John Legend,All Of Me,2013,https://www.youtube.com/watch?v=sQtnhwU2R9Y,https://open.spotify.com/track/7iMShAszUu72Jw6VCEN0yj,2025
43,BlÃ¸f,Zoutelande,2017,https://www.youtube.com/watch?v=spagdTz_EHk,https://open.spotify.com/track/6aAJY5FYW0TMLsUe2T7x4p,2025
44,Alexis Jordan,Happiness,2011,https://www.youtube.com/watch?v=X6F5g_3V1ZE,https://open.spotify.com/track/5S4J5QVt1X0ZACiPOrOCoq,2025
45,Suzan & Freek,Lichtje Branden,2021,https://www.youtube.com/watch?v=3_OtzxcAIwc,https://open.spotify.com/track/16VFlUdJfBnF2UoMgTJIDI,2025
46,Jeugd Van Tegenwoordig,Sterrenstof,2010,https://www.youtube.com/watch?v=cNMXSKfWfLQ,https://open.spotify.com/track/7D5vAulNfrQV6xEwzgH0OF,2025
47,Taylor Swift,Love Story,2008,https://www.youtube.com/watch?v=8xg3vE8Ie_E,https://open.spotify.com/track/1D4PL9B8gOg78jiHg3FvBb,2025
48,RosÃ© & Bruno Mars,APT,2024,https://www.youtube.com/watch?v=ekr2nIex040,https://open.spotify.com/track/5vNRhkKd0yEAg8suGBpjeY,2025
49,Ed Sheeran,The A Team,2011,https://www.youtube.com/watch?v=UAWcs5H-qgQ,https://open.spotify.com/track/1VdZ0vKfR5jneCmWIUAMxK,2025
50,Avicii,Hey Brother,2013,https://www.youtube.com/watch?v=6Cp6mKbRTQY,https://open.spotify.com/track/4lhqb6JvbHId48OUJGwymk,2025
51,Miss Montreal,"Wonderful Days (Live @ Mattie & Wietze, Q-Music)",2012,https://www.youtube.com/watch?v=6nElH23Epww,https://open.spotify.com/track/13r6N4NWR9CMWPfU86uRol,2025
52,Chainsmokers & Coldplay,Something Just Like This,2017,https://www.youtube.com/watch?v=FM7MFYoylVs,https://open.spotify.com/track/6RUKPb4LETWmmr3iAEQktW,2025
53,Script,The Man Who Can't Be Moved,2008,https://www.youtube.com/watch?v=gS9o1FAszdk,https://open.spotify.com/track/3nqqDo8CcCLke3ZoTgiOKf,2025
54,Mark Ronson & Amy Winehouse,Valerie,2007,https://www.youtube.com/watch?v=bixuI_GV5I0,https://open.spotify.com/track/6kopmMZiyLmw7h66uXcXR7,2025
55,Snow Patrol,Chasing Cars,2006,https://www.youtube.com/watch?v=GemKqzILV4w,https://open.spotify.com/track/5hnyJvgoWiQUYZttV4wXy6,2025
56,Lady GaGa,Bad Romance,2009,https://www.youtube.com/watch?v=qrO4YZeyl0I,https://open.spotify.com/track/0SiywuOBRcynK0uKGWdCnn,2025
57,Alex Warren,Ordinary,2025,https://www.youtube.com/watch?v=A8dH4cKGa6s,https://open.spotify.com/track/6qqrTXSdwiJaq8SO0X2lSe,2025
58,Dua Lipa,Don't Start Now,2019,https://www.youtube.com/watch?v=oygrmJFKYZY,https://open.spotify.com/track/3PfIrDoz19wz7qK7tYeu62,2025
59,Gotye & Kimbra,Somebody That I Used To Know,2011,https://www.youtube.com/watch?v=8UVNT4wvIGY,https://open.spotify.com/track/4wCmqSrbyCgxEXROQE6vtV,2025
60,Wiz Khalifa & Charlie Puth,See You Again,2015,https://www.youtube.com/watch?v=RgKAFK5djSk,https://open.spotify.com/track/2JzZzZUQj3Qff7wapcbKjc,2025
61,Nothing But Thieves,Overcome,2023,https://www.youtube.com/watch?v=TzTv976ghws,https://open.spotify.com/track/18q5OmlDTbSm8w9J1i17dT,2025
62,Carly Rae Jepsen,Call Me Maybe,2012,https://www.youtube.com/watch?v=fWNaR-rxAic,https://open.spotify.com/track/20I6sIOMTCkB6w7ryavxtO,2025
63,Teddy Swims,Lose Control,2023,https://www.youtube.com/watch?v=FkOpwodhROI,https://open.spotify.com/track/6usohdchdzW9oML7VC4Uhk,2025
64,Shakira & Freshlyground,Waka Waka (This Time For Africa),2010,https://www.youtube.com/watch?v=pRpeEdMmmQ0,https://open.spotify.com/track/2Cd9iWfcOpGDHLz6tVA3G4,2025
65,Marco Schuitmaker,Engelbewaarder,2022,https://www.youtube.com/watch?v=wW8jga2D_ok,https://open.spotify.com/track/2C2vSufLm1wLq2GjDH3iMh,2025
66,Adele,Make You Feel My Love,2008,https://www.youtube.com/watch?v=0put0_a--Ng,https://open.spotify.com/track/5FgPwJ7Nh2FVmIXviKl2VF,2025
67,Imagine Dragons,Demons,2012,https://www.youtube.com/watch?v=mWRsgZuwf_8,https://open.spotify.com/track/5qaEfEh1AtSdrdrByCP7qR,2025
68,Flemming,Automatisch,2022,https://www.youtube.com/watch?v=EMENtBGB2oI,https://open.spotify.com/track/2WeAyT93f7IzrwXm3ZJMb2,2025
69,Passenger,Let Her Go,2012,https://www.youtube.com/watch?v=RBumgq5yVrA,https://open.spotify.com/track/1KxwZYyzWNyZSRyErj2ojT,2025
70,Eminem & Rihanna,Love The Way You Lie,2010,https://www.youtube.com/watch?v=uelHwf8o7_U,https://open.spotify.com/track/15JINEqzVMv3SvJTAXAKED,2025
71,Martin Garrix,Animals,2013,https://www.youtube.com/watch?v=gCYcHz2k5x0,https://open.spotify.com/track/4g6m1iaAsgdgDqgxGtvY0C,2025
72,Ed Sheeran,Thinking Out Loud,2014,https://www.youtube.com/watch?v=lp-EO5I60KA,https://open.spotify.com/track/34gCuhDGsG4bRPIf9bb02f,2025
73,Marco Borsato & Armin Van Buuren & Davina Michelle,Hoe Het Danst,2019,https://www.youtube.com/watch?v=7zwK5fDUOY4,https://open.spotify.com/track/5cYOVkA2cnjKid9yigaMwq,2025
74,Racoon,Love You More,2005,https://www.youtube.com/watch?v=2j4MWZevjYw,https://open.spotify.com/track/2eFreVYQ9r8yxopGtiPMCy,2025
