artist,title,year,base_year,youtube_link
Kinks,Waterloo Sunset,1967,2016,https://www.youtube.com/watch?v=N_MqfF0WBsU
Doors,Light My Fire,1966,2016,https://www.youtube.com/watch?v=cq8k-ZbsXDI
Radiohead,Street Spirit (Fade Out),1996,2016,https://www.youtube.com/watch?v=LCJblaUkkfc
Kate Bush,Wuthering Heights,1978,2016,https://www.youtube.com/watch?v=-1pMMIe4hb4
AC/DC,Whole Lotta Rosie,1977,2016,https://www.youtube.com/watch?v=QMvE0yFnR0I
Bruce Springsteen,Badlands,1977,2016,https://www.youtube.com/watch?v=o5IZuuzUa04
dEUS,Instant Street,1999,2016,https://www.youtube.com/watch?v=k3itF-CPNEA
Bob Dylan,Hurricane (Album Version),1975,2016,https://www.youtube.com/watch?v=bpZvg_FjL3Q
Led Zeppelin,Whole Lotta Love,1969,2016,https://www.youtube.com/watch?v=HQmmM_qwG4k
Procol Harum,A Whiter Shade Of Pale,1967,2016,https://www.youtube.com/watch?v=z0vCwGUZe1I
Beatles,Here Comes The Sun,1969,2016,https://www.youtube.com/watch?v=KQetemT1sWc
Beatles,Yesterday,1965,2016,https://www.youtube.com/watch?v=NrgmdOz227I
U2,One,1992,2016,https://www.youtube.com/watch?v=ftjEcrrf7r0&pp=0gcJCdgAo7VqN5tD
Metallica,Nothing Else Matters,1992,2016,https://www.youtube.com/watch?v=tAGnKpE4NCI
Elvis Costello & The Attractions,I Want You,1986,2016,https://www.youtube.com/watch?v=pp8RjKOID1I
Prince & The Revolution,Kiss,1986,2016,https://www.youtube.com/watch?v=H9tEvfIsDyo
Johnny Cash,Hurt,2002,2016,https://www.youtube.com/watch?v=8AHCfZTRGiI
Triffids,Wide Open Road,1986,2016,https://www.youtube.com/watch?v=7N5akOOlGTI
Otis Redding,(Sittin' On) The Dock Of The Bay,1968,2016,https://www.youtube.com/watch?v=rTVjnBo96Ug
2 Belgen,Lena,1985,2016,https://www.youtube.com/watch?v=GJlc4XfT-dw
Pixies,Where Is My Mind,1988,2016,https://www.youtube.com/watch?v=OJ62RzJkYUo
Louis Armstrong,What A Wonderful World,1968,2016,https://www.youtube.com/watch?v=VqhCQZaH4Vs
