artist,title,year,youtube_link,spotify_link,base_year
10cc,Dreadlock Holiday,1978,https://www.youtube.com/watch?v=fUNTk5xsxk4,#MV,2003
10cc,Feel The Love (Oomachasaooma),1983,https://www.youtube.com/watch?v=zNSmka_gLck,#MV,2004
10cc,I'm Not In Love,1975,https://www.youtube.com/watch?v=cgJckGsR-T0,#MV,2004
10cc,The Wall Street Shuffle,1974,https://www.youtube.com/watch?v=foT1ITubs1A,#MV,2004
2 Unlimited,No Limit,1992,https://www.youtube.com/watch?v=7kmEEkECFQw,#MV,2011
2Pac,Changes,1998,https://www.youtube.com/watch?v=eXvBjCO19QY,#MV,2011
2Pac & Dr. Dre & Roger Troutman,California Love,1995,https://www.youtube.com/watch?v=N0VdRLdg2ng,#MV,2016
3 Doors Down,Here Without You,2002,https://www.youtube.com/watch?v=kPBzTxZQG5Q,#MV,2005
3 Doors Down,Kryptonite,1999,https://www.youtube.com/watch?v=xPU8OAjjS4k,#MV,2003
3 Doors Down,Let Me Go,2004,https://www.youtube.com/watch?v=thc1MtNagC8,#MV,2016
4 Non Blondes,What's Up,1992,https://www.youtube.com/watch?v=6NXnxTNIWkc,#MV,2003
A Flock Of Seagulls,The More You Live The More You Love,1984,https://www.youtube.com/watch?v=TROOtt-68F4,#MV,2004
A Flock Of Seagulls,Wishing (If I Had A Photograph Of You),1982,https://www.youtube.com/watch?v=opkzgLMH5MA,#MV,2020
A-Ha,Hunting High And Low (Remix),1985,https://www.youtube.com/watch?v=s6VaeFCxta8,#MV,2003
A-Ha,I've Been Losing You,1986,https://www.youtube.com/watch?v=Xbg4JFdcbY4,#MV,2022
A-Ha,Take On Me,1985,https://www.youtube.com/watch?v=djV11Xbc914,#MV,2003
A-Ha,The Living Daylights,1987,https://www.youtube.com/watch?v=z61NEfYK0fc,#MV,2015
A-Ha,The Sun Always Shines On T.V.,1985,https://www.youtube.com/watch?v=a3ir9HC9vYg,#MV,2003
ABBA,Dancing Queen,1976,https://www.youtube.com/watch?v=xFrGuyw1V8s,#MV,2003
ABBA,Does Your Mother Know,1979,https://www.youtube.com/watch?v=WkL7Fkigfn8,#MV,2004
ABBA,Eagle,1977,https://www.youtube.com/watch?v=dDI7x1nwTUw,#MV,2005
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,https://www.youtube.com/watch?v=XEjLoHdbVeE,#MV,2005
ABBA,"Knowing Me, Knowing You",1976,https://www.youtube.com/watch?v=iUrzicaiRLU,#MV,2021
ABBA,Lay All Your Love On Me,1980,https://www.youtube.com/watch?v=ulZQTrV8QlQ,#MV,2003
ABBA,Mamma Mia,1975,https://www.youtube.com/watch?v=unfzfe8f9NI,#MV,2021
ABBA,S.O.S.,1975,https://www.youtube.com/watch?v=cvChjHcABPA,#MV,2021
ABBA,Take A Chance On Me,1977,https://www.youtube.com/watch?v=-crgQGdpZR0,#MV,2003
ABBA,Thank You For The Music,1977,https://www.youtube.com/watch?v=0dcbw4IEY5w,#MV,2024
ABBA,The Day Before You Came,1982,https://www.youtube.com/watch?v=1HnOFwqpLRQ,#MV,2021
ABBA,The Winner Takes It All,1980,https://www.youtube.com/watch?v=92cwKCU8Z5c,#MV,2004
ABBA,Voulez-Vous,1979,https://www.youtube.com/watch?v=za05HBtGsgU,#MV,2004
ABBA (Bj̦rn & Benny & Anna & Frida),Waterloo,1974,https://www.youtube.com/watch?v=Sj_9CiNkkn4,#MV,2004
ABC,All Of My Heart,1982,https://www.youtube.com/watch?v=Lfph3043yZU,#MV,2022
ABC,Poison Arrow,1982,https://www.youtube.com/watch?v=a70yJwgQtzo,#MV,2005
ABC,The Look Of Love,1982,https://www.youtube.com/watch?v=cNEdxZURTaI,#MV,2003
ABC,The Night You Murdered Love,1987,https://www.youtube.com/watch?v=dra8WN-JCIE,#MV,2004
ABC,When Smokey Sings,1987,https://www.youtube.com/watch?v=BTV5FvNCbhk,#MV,2004
AC/DC,Back In Black,1980,https://www.youtube.com/watch?v=pAgnJDJN4VA,#MV,2020
AC/DC,Highway To Hell,1979,https://www.youtube.com/watch?v=l482T0yNkeo,#MV,2005
AC/DC,Let There Be Rock,1977,https://www.youtube.com/watch?v=3f2g4RMfhS0,#MV,2022
AC/DC,Thunderstruck,1990,https://www.youtube.com/watch?v=v2AC41dglnM,#MV,2003
AC/DC,Whole Lotta Rosie,1977,https://www.youtube.com/watch?v=BL58K-3XGKs,#MV,2003
AC/DC,You Shook Me All Night Long,1980,https://www.youtube.com/watch?v=Lo2qQmj0_h4,#MV,2020
AJR,Weak,2017,https://www.youtube.com/watch?v=txCCYBMKdB0,#MV,2017
Abel,Onderweg,2000,https://www.youtube.com/watch?v=-WNo6YdN8u0,#MV,2024
Acda & De Munnik,De Kapitein Deel II,2000,https://www.youtube.com/watch?v=_D-g3ImYDG4,#MV,2003
Acda & De Munnik,Het Regent Zonnestralen,1998,https://www.youtube.com/watch?v=dZkbhA1NcTM,#MV,2005
Acda & De Munnik,Niet Of Nooit Geweest,1998,https://www.youtube.com/watch?v=8B669SgMuVw,#MV,2003
Acda & De Munnik,Ren Lenny Ren,2002,https://www.youtube.com/watch?v=fbCwcBY-g08,#MV,2021
Ace Of Base,All That She Wants,1992,https://www.youtube.com/watch?v=d73tiBBzvFM,#MV,2003
Adam Lambert,Ghost Town,2015,https://www.youtube.com/watch?v=Ix8ocFEMa1o,#MV,2017
Adam Lambert,Whataya Want From Me,2009,https://www.youtube.com/watch?v=X1Fqn9du7xo,#MV,2013
Adamski & Seal,Killer,1990,https://www.youtube.com/watch?v=LtYujyhvIyQ,#MV,2003
