artist,title,year,youtube_link,spotify_link,base_year
ABBA,Gimme! Gimme! Gimme! (A Man After Midnight),1979,https://www.youtube.com/watch?v=XEjLoHdbVeE,https://open.spotify.com/track/3vkQ5DAB1qQMYO4Mr9zJN6,2001
ABBA,Happy New Year,1980,https://www.youtube.com/watch?v=3Uo0JAUWijM,https://open.spotify.com/track/4AsvGVDWs16fqIiIdDzyvX,1999
ABBA,Head Over Heels,1981,https://www.youtube.com/watch?v=pL2_PZwKDPg,https://open.spotify.com/track/5boJKR3VLBW0dc5167wKDE,2004
ABBA,"Honey, Honey",1974,https://www.youtube.com/watch?v=hSy7bWlsbGU,https://open.spotify.com/track/2KgGzC2tP6DYbatyvdap3O,2005
ABBA,"I Do, I Do, I Do, I Do, I Do",1975,https://www.youtube.com/watch?v=tW3HN_pvbE4,https://open.spotify.com/track/0x5BKBAcia1th7UzcoHnD1,2004
ABBA,I Have A Dream,1979,https://www.youtube.com/watch?v=ER_3h03omdE,https://open.spotify.com/track/6Xibu53y8mquzUJL6HGEG2,1999
ABBA,"Knowing Me, Knowing You",1976,https://www.youtube.com/watch?v=iUrzicaiRLU,https://open.spotify.com/track/46ou4l4zvrZMada0TgoVH9,1999
ABBA,Lay All Your Love On Me,1980,https://www.youtube.com/watch?v=ulZQTrV8QlQ,https://open.spotify.com/track/4euAGZTszWPrriggYK0HG9,2005
ABBA,Mamma Mia,1975,https://www.youtube.com/watch?v=unfzfe8f9NI,https://open.spotify.com/track/6UIwfaQh9RP2anZ5OMQPfX,2000
ABBA,"Money, Money, Money",1976,https://www.youtube.com/watch?v=ETxmCCsMoD0,https://open.spotify.com/track/29FNeqjOV2kPWGS55qhtGB,2000
ABBA,One Of Us,1981,https://www.youtube.com/watch?v=IIKAe8Wi0S0,https://open.spotify.com/track/40IHflbrHcOuC8ZcYxUSAC,2000
ABBA,S.O.S.,1975,https://www.youtube.com/watch?v=cvChjHcABPA,https://open.spotify.com/track/6yZv0Nl6BXABbXoPVpfF5y,1999
ABBA,Summer Night City,1978,https://www.youtube.com/watch?v=_d5dPYHi17k,https://open.spotify.com/track/1Vi4Zx98g2Opv2XS4v1Ywp,2000
ABBA,Super Trouper,1980,https://www.youtube.com/watch?v=BshxCIjNEjY,https://open.spotify.com/track/0J2p4KYdr6Mg4ET6JPlbe1,2001
ABBA,Take A Chance On Me,1977,https://www.youtube.com/watch?v=-crgQGdpZR0,https://open.spotify.com/track/5BckPAYcKEJuYs1eV1BHHe,2000
ABBA,Thank You For The Music,1977,https://www.youtube.com/watch?v=0dcbw4IEY5w,https://open.spotify.com/track/08GOw3NsrJ0LsCCeyqzt3b,1999
ABBA,The Day Before You Came,1982,https://www.youtube.com/watch?v=1HnOFwqpLRQ,https://open.spotify.com/track/6W26h4KbGUnEaav5VWIyJm,1999
ABBA,The Name Of The Game,1977,https://www.youtube.com/watch?v=iJ90ZqH0PWI,https://open.spotify.com/track/1lDo24S34NvI1pAg7Oxldc,1999
ABBA,The Winner Takes It All,1980,https://www.youtube.com/watch?v=92cwKCU8Z5c,https://open.spotify.com/track/3oEkrIfXfSh9zGnE7eBzSV,1999
